,1,2,3,4,5,6,7,8,9
72,(-0.006988220580607727+0j),(0.004502608360742196+0j),(-0.014725371038090391+0j),(-0.006572760610774475+0j),(0.00025377725072238427+0j),(0.0012058405677522139+0j),(0.0001176541375449717+0j),(0.004676211009064497+0j),(-0.009482176329798158+0j)
73,(-0.048041701800855055+0j),(-0.012447441448803333+0j),(0.10716729739414065+0j),(-0.007092617929001803+0j),(-0.05033953896071643+0j),(-0.0017584440893284856+0j),(0.06015991326103418+0j),(0.00907789307515682+0j),(-0.06109944739225863+0j)
74,(0.007327927791661389+0j),(0.026235676486358047+0j),(0.01976571694078551+0j),(-0.02014099687122456+0j),(-0.007645576444572236+0j),(-0.02171463664935415+0j),(0.03802370279927271+0j),(-0.0075537711383898655+0j),(0.01710873776423579+0j)
75,(-0.03334942961702691+0j),(-0.03183833731683229+0j),(-0.054760532778907814+0j),(0.018772719102423195+0j),(-0.012132925470436519+0j),(0.04825490747684968+0j),(-0.03169471895115576+0j),(0.08763876031247353+0j),(0.021216955887204243+0j)
76,(3.890271398498641e-05+0j),(0.007879864782872462+0j),(-0.03051311763359208+0j),(-0.0008904786443047248+0j),(0.009093161380177897+0j),(0.026230964699194177+0j),(0.0018311268637163241+0j),(0.022816609889820223+0j),(0.002785204776248727+0j)
77,(0.01574345357027175+0j),(0.005826740946092751+0j),(0.031231864701541715+0j),(0.007531967865773542+0j),(-0.009561129843971523+0j),(0.009491445786178818+0j),(-0.028943456084490254+0j),(0.015256337575552883+0j),(0.023216307823638663+0j)
78,(-0.02921621384960694+0j),(-0.013209934454974814+0j),(0.021984944412293015+0j),(-0.010112222569007543+0j),(0.03744739387210546+0j),(0.022643047383186704+0j),(0.015715658280809307+0j),(0.0370445080833531+0j),(-0.04203687677837228+0j)
79,(0.008227875956843118+0j),(0.0015975403048473075+0j),(0.006795394093350858+0j),(-0.006410282442201624+0j),(0.006130056630489545+0j),(-0.0017514382170588279+0j),(-0.014442814928184888+0j),(0.03272561564771557+0j),(-0.03656055376512766+0j)
80,(-0.053665548560110396+0j),(-0.02087403621011776+0j),(0.043788095540741194+0j),(0.06263889164432179+0j),(0.0030740607923472668+0j),(0.012169551067167564+0j),(0.00943137110601983+0j),(0.00490265770915703+0j),(-0.05966894909488567+0j)
81,(0.005274385304412508+0j),(0.01777655554223924+0j),(0.013125339520211995+0j),(0.009358380116038716+0j),(0.02321976944148587+0j),(0.0061081118512592795+0j),(-0.0023176242220320086+0j),(0.004297156886770624+0j),(-0.026972730357276587+0j)
82,(0.054134389744070595+0j),(0.054442350792214336+0j),(-0.06790521220612884+0j),(-0.03370529479609135+0j),(0.02069566373793468+0j),(-0.06567614761133928+0j),(0.04768739704328301+0j),(-0.01382662879767652+0j),(-0.031008158550443896+0j)
83,(-0.052691650911498134+0j),(-0.009721628351516071+0j),(0.015342196330549559+0j),(0.09426182120470428+0j),(0.11057933637627305+0j),(0.05186474833455921+0j),(-0.0022232525166878754+0j),(0.07150529945368331+0j),(-0.034950141337379906+0j)
84,(-0.017714227547158068+0j),(0.02171326829890579+0j),(-0.006865327617902298+0j),(-0.0402029632324176+0j),(-0.00984207319778385+0j),(0.08500040614758962+0j),(0.018553162927897788+0j),(0.03427548083682137+0j),(-0.026389991523337063+0j)
85,(-0.020604995081256544+0j),(-0.022403072046555877+0j),(0.06153446589879012+0j),(0.015258403100906297+0j),(-0.0018465218615788712+0j),(0.015694710896192142+0j),(0.003143328557948115+0j),(0.10852567283386749+0j),(-0.033510223378498995+0j)
86,(0.008602674549437117+0j),(0.026210867627979924+0j),(-0.05300736920405861+0j),(0.0006235411493418556+0j),(0.03254452313021941+0j),(-0.019842892534216516+0j),(-0.017139319838587967+0j),(-0.023898215640758207+0j),(-0.07501813322803413+0j)
87,(0.13523571464543505+0j),(0.08935415095264897+0j),(-0.02193673504318292+0j),(-0.12975912959198163+0j),(-0.07727792460659112+0j),(-0.10608991856082926+0j),(-0.03239250450330043+0j),(0.13857765379207393+0j),(0.08783892105157695+0j)
88,(-0.020181086277647274+0j),(-0.049734009329904585+0j),(0.00022138141571519644+0j),(0.036214789273564606+0j),(0.035245788132665525+0j),(0.05135262150366019+0j),(-0.055114517576846246+0j),(0.06561088580353536+0j),(0.02435970444016631+0j)
